Id,Name,Latitude,Longitude,Altitude,Ownership,Type,admin3Name,admin3Pcod,admin2Name,admin2Pcod,admin1Name,admin1Pcod,City,Kebele,Status
1038009,Sena Dental Medium Clinic,9.088810700000000,36.546742299999998,2104.199951000000056,Private for profit,Specialty Clinic,Nekemte town,ET040297,East Wellega,ET0402,Oromia,ET04,Nekemte,"01 Bakanisa kase sub city",Approved
1054030,Sena Dental Medium Clinic,8.540976100000000,39.266365700000001,1631.284180000000106,Private for profit,Specialty Clinic,Adama town,ET040714,East Shewa,ET0407,Oromia,ET04,Adama,Barecha Woreda,Approved
1083973,Sena Dental Medium Clinic,7.759935400000000,39.155579299999999,2519.000000000000000,Private for profit,Specialty Clinic,Degeluna Tijo,ET040815,Arsi,ET0408,Oromia,ET04,sagure,Sagure-01,Approved
1058958,Sena Dental Medium clinic,7.196161400000000,38.597194899999998,1933.700072999999975,Private for profit,Specialty Clinic,Shashemene town,ET041711,West Arsi,ET0417,Oromia,ET04,SHASHAMANE,"03",Approved
1053285,Sena Dental Medium Clinic #2,8.547432199999999,39.271125599999998,1609.516601999999921,Private for profit,Specialty Clinic,Adama town,ET040714,East Shewa,ET0407,Oromia,ET04,Adama,Bedatu,Approved
1079852,Sena Drug Store,9.042605999999999,36.247895300000003,1319.099999999999909,Private for profit,Pharmacy,Diga,ET040210,East Wellega,ET0402,Oromia,ET04,Gudetu Arjo,Gudetu Arjo  01,Approved
1038625,Sena Drug Store,7.645905700000000,36.844203700000001,1720.500000000000000,Private for profit,Pharmacy,Jimma town,ET040418,Jimma,ET0404,Oromia,ET04,JImma,Bore,Approved
1038452,Sena Drug Store,8.980661599999999,37.873826000000001,2155.099854000000050,Private for profit,Pharmacy,Ambo town,ET040515,West Shewa,ET0405,Oromia,ET04,Ambo,Yahi Geda,Approved
1038598,Sena Drug Store,8.397576200000000,39.218037199999998,1537.000000000000000,Private for profit,Pharmacy,Adama,ET040703,East Shewa,ET0407,Oromia,ET04,Adama,Wonji,Approved
1080203,Sena Drug store,8.577642100000000,39.275216800000003,1680.000000000000000,Private for profit,Pharmacy,Adama,ET040703,East Shewa,ET0407,Oromia,ET04,Adama,Hangatu,Approved
1032600,Sena Drug Store,7.926621600000000,38.714823000000003,1642.200072999999975,Private for profit,Pharmacy,Adama Tulu Jido Kombolcha,ET040708,East Shewa,ET0407,Oromia,ET04,Batu,Melka Shalo,Approved
1084779,Sena Drug store,8.295742499999999,38.946517700000001,1653.300048999999944,Private for profit,Pharmacy,Bora (OR),ET040710,East Shewa,ET0407,Oromia,ET04,Bote,Bosoke 01,Approved
1080049,Sena Drug Store,8.590115300000003,39.120870600000003,1769.800048999999944,Private for profit,Pharmacy,Mojo Town,ET040797,East Shewa,ET0407,Oromia,ET04,Mojo,Kersa,Approved
1085072,Sena Drug Store,7.980106200000000,39.686524599999998,2480.617920000000140,Private for profit,Pharmacy,Sude,ET040808,Arsi,ET0408,Oromia,ET04,Kula,"01",Approved
1067178,Sena Drug Store,7.954110600000000,39.131036600000002,2417.699999999999818,Private for profit,Pharmacy,Asela town,ET040825,Arsi,ET0408,Oromia,ET04,ASELLA,"04",Approved
1032874,Sena Drug Store,9.216893900000001,41.101504499999997,1781.200072999999975,Private for profit,Pharmacy,Tulo (OR),ET040903,West Hararge,ET0409,Oromia,ET04,Hirna,"02",Approved
1032202,Sena Drug Store,9.376737400000000,41.473763499999997,2092.799805000000106,Private for profit,Pharmacy,Deder,ET041011,East Hararge,ET0410,Oromia,ET04,Kobo,Deder,Approved
1058804,Sena Drug Store,7.118581300000000,40.004178699999997,2479.799805000000106,Private for profit,Pharmacy,Robe Town,ET041119,Bale,ET0411,Oromia,ET04,Robe,Chefe Donsa,Approved
1059170,Sena Drug Store,7.014139900000000,39.974147100000003,2687.299805000000106,Private for profit,Pharmacy,Goba town,ET041120,Bale,ET0411,Oromia,ET04,Robe,Chafe Hora,Approved
1048351,Sena Drug Store,5.623087100000000,38.242871200000003,1947.599999999999909,Private for profit,Pharmacy,Bule Hora town,ET041587,West Guji,ET0415,Oromia,ET04,Bule Hora,Goro Gudina,Approved
1053043,Sena Drug store,8.079036700000000,36.460696300000002,1923.035000000000082,Private for profit,Pharmacy,Dedesa,ET041608,Buno Bedele,ET0416,Oromia,ET04,Denbi,"01",Approved
1080017,Sena Drug Store,7.201063700000000,38.591499100000000,1937.700000000000045,Private for profit,Pharmacy,Shashemene town,ET041711,West Arsi,ET0417,Oromia,ET04,Shashemene,"06",Approved
1080979,Sena Drug Store,9.032178500000001,38.664478600000002,2605.799805000000106,Private for profit,Pharmacy,Burayu,ET042001,Finfine Special,ET0420,Oromia,ET04,Melka Nono Sub City,Gefersa Nono,Approved
1080256,Sena Drug Store,8.935601300000000,38.664667899999998,2298.000000000000000,Private for profit,Pharmacy,Sebeta town,ET042009,Finfine Special,ET0420,Oromia,ET04,Furi Sub City,Kenteri,Approved
1078360,Sena Drug Store,9.432894599999999,38.660356600000000,0.000000000000000,Private for profit,Pharmacy,Sululta,ET042013,Finfine Special,ET0420,Oromia,ET04,Darba,"01",Approved
1079578,Sena Drug Store,10.058065800000000,34.539695700000003,1542.772827000000007,Private for profit,Pharmacy,Assosa town Administration,ET060309,Assosa,ET0603,Benishangul Gumz,ET06,Assosa,Assosa,Approved
1039057,Sena Drug Store,9.312023800000000,42.109100400000003,1965.831930999999940,Private for profit,Pharmacy,Abadir,ET130109,Harari,ET1301,Harari,ET13,Harar,"18",Approved
1033028,Sena Hada Oramia Primary Clinic,8.425087500000000,37.519069299999998,1493.599999999999909,Private for profit,Clinic,Nono,ET040508,West Shewa,ET0405,Oromia,ET04,Duko Shumo,Nano Kondala,Approved
1025911,Sena Health Post,8.334050700000002,35.925765100000000,1766.599999999999909,Public/Government,Health Post,Yayu,ET040309,Ilu Aba Bora,ET0403,Oromia,ET04,Sena,Sena,Approved
1047905,Sena Medium Clinic,8.975816500000002,37.852677300000003,2109.099854000000050,Private for profit,Clinic,Ambo town,ET040515,West Shewa,ET0405,Oromia,ET04,Ambo,Hora Ayetu,Approved
1058916,Sena Medium Clinic,8.452355000000003,39.221705999999998,1536.400024000000030,Private for profit,Clinic,Adama,ET040703,East Shewa,ET0407,Oromia,ET04,Adama,Wonji Gefersa,Approved
1080413,Sena Medium Clinic,7.719666000000000,38.651377799999999,1600.000000000000000,Private for profit,Clinic,Adama Tulu Jido Kombolcha,ET040708,East Shewa,ET0407,Oromia,ET04,Bulbula,Bulbula 01,Approved
